Tweet,Stance
"With no rain in the next 5 days, it would have been the driest June in #Santiago de #Chile in morden history. #SemST",FAVOR
BIG #DecaYeah and Happy #Smackoff / #EichelDay to @AnthonySalerno & @EagtheDeuce #ValKilmer #Bust #SemST,NONE
' taking a stand to preserve traditional sea levels' #SemST,FAVOR
"RT @transitionlouth: @BP_plc We need degrowth - stop destroying our planet, BP. #SemST",FAVOR
@worldfarmersorg congress. @BartoliniMatteo :Dutch way in reducing greenhouse gasses agriculture is excellent example combat #SemST,FAVOR
A lot of damage is being done every day. But we are going to win this. #yrcannes #CannesLions #SemST,FAVOR
Why all talks #Rainforests? 1/6 of the World Russia is not less important ! #DoctorCarbon Advocate #sustainability !   #SemST,FAVOR
"Appropriate that I'd watch the Futurama episode ""Crimes of the Hot"" before the hottest weekend so far this summer. #futurama #SemST",NONE
"I love this Pope. I don't care what religion you are, this guy is awesome. #SemST",NONE
RT @victoriaswatson: @WhiteHouse @POTUS What a wonderful exchange between two of the world's greatest men! Really touching. # #SemST,NONE
Most people say that it is the intellect which makes a great scientist. They are wrong: it is character. ~ Albert Einstein  #SemST,NONE
"I really can't stand the Catholic church but I think I have a crush on #PopeFrancis ! Shhhh, don't tell!  #AnimalRights #SemST",NONE
"When debunking climate myths: fight sticky myths with stickier facts, mention the myth and explain the fallacy!  #SemST",FAVOR
The facts are in. It is clear as our numbered days. Climate change is humanity's fault. And we are facing extinction. #SemST,FAVOR
"@Aman_Pasha Higher sea levels & temperature, glacial retreat, warmer oceans, extreme weather events. Plenty of evidence. #SemST",FAVOR
"#FF @CarbonTaxCenter, @ProtecThePlanet, @WCSMyanmar, @ClimateWise2015, & @Pragmactivist99. Work for a #green energy future. #SemST",FAVOR
Wearing a sweater at the end of June! #itfeelslikespring #SemST,FAVOR
"Oh: Watching the #news re #Greece currently, it's ([all]) #relative re #why I'm here! Re's D #peace #GMS #Democracy #Goal??? #SemST",NONE
"The + 1 is a #democratic dip in ""deeper waters"" & no more re #why I'm here, regards Dion #peace #Democracy! #Goal? #Future??? #SemST",NONE
"After the Millennials come the Apocalypticals. Thanks, breeders. #overpopulation #SemST",NONE
"Thank you to all our 300 followers, helping us to raise awareness of #HumanRights #SOSEurope #prisonersofconscience #torture #SemST",NONE
"I'm blowing AC with the top off, in the middle of the night, in Oregon.. #SemST",FAVOR
There's a great challenge 4 #leadershhip in #globslopportunity 2search synergetic efforts w/ their fellows to get engaged in #SemST,NONE
#seattle 72 degrees. Trying to sleep with industrial fan--sounds like choppers are circling the house. #HeatWave #SemST,FAVOR
"First listen, then conviction, next action - Dali Lama on #Glasto2015 #SemST",NONE
Brilliant talk from @GeorgeMonbiot #Dali Lama @guardian #divestment is the key action for all on #Glasto2015 #SemST,NONE
#vatican will be destroyed the most vile creatures ever the creators of #islam #sodomising #children  #fakestine and #SemST,NONE
"This Pope. I swear, he is about to tempt my wayward ass back to the church. #love #justice #SemST",NONE
Amazing interview with @POTUS and David Attenborough #SemST,NONE
#Mission:#Climate on the road > Give your car a break (by @EPA) #Tip #SemST,FAVOR
"The natural world is part of our inheritance, we have to protect it  @Sir_Attenboroug with @POTUS on #BBC #Earth #SemST",FAVOR
"''this is the planet on which we live, it's the only one we've got and we've got to protect it.'' #Obama #Attenborough #SemST",FAVOR
"Raining again then Im sure, it wi suddenly get warm again right after. #SemST",FAVOR
"Attenborough: 'The real problem is global' i.e. not just me, or you, but us #SemST",FAVOR
Working with artists & culture is key to weave through the efforts we're doing #grassroots #SemST,NONE
Enjoying watching Sir David Attenborough and Obama talk about climate change mitigation #LoveNature #SemST,FAVOR
.@BlissTabitha I'm sure this Eco-Friendly Pope will remember to Turn-Off-the-Lights on his way out #LastPope  #PopeForPlanet  #SemST,FAVOR
